Question,Answer
Meals can be served,in rooms at 9:00 p. m.
It can be inferred from the passage that,The local government can deal with the problem of lacking money by some means .
The author called Tommy 's parents in order to,help them realize their influence on Tommy
It can be inferred from the passage that,the writer is not very willing to use idioms
How can we deal with snake wounds according to the passage ?,Stay calm and do n't move .
What was the writer 's problem when she studied in the boarding school at first ?,She missed her family very much .
Who were killed on February 5 in a small town near Johannesburg ?,Chen Jianqing and one of her partners
"According to the writer , which of the following statements is true ?","Soccer is popular all over the world , but truly great players are few ."
During a fire children often,panic
What 's the title of the passage ?,Five children died in a kindergarten bus accident .
We feel unhappy when   ,we have a fight with our classmates
What was NOT the effect of the Revolution ?,The king tried to control the national parliament .
What can we infer from the passage ?,"Wang Jinbi wants to transform her hukou back , because she wants to make a living in her hometown ."
Which of the following statements is TRUE according to the passage ?,Poverty and family problems contribute to child begging
"According to the author , which of the following statements is TRUE ?",Fighting back tears may cause some health problems .
"According to the survey ,",choosing food is related to Asian - American 's situation
The purpose of Connected to the Future is to,make America get ahead in digital learning
When and where did the writer first meet Frank ?,In an air - raid shelter during the war .
"To deal with an e - mail you get , you can do the following EXCEPT",downloading every e - mail before you reply
One reason that many colleges adopt the website is to    ,encourage their students to seek advice about depression
The purpose of the author in writing this passage is to,give us advice on how to keep the brain healthy
Which of the following statements is WRONG according to the passage ?,All the Oceans in the world are polluted by oil .
What 's the writer 's attitude    towards digital footprint ?,We should not use our own names online .
How will scientists deal with the high temperatures ?,By observing the phenomenon closely .
Most people come to the Loomis Eggplant Festival to,enjoy food with eggplants
"According to some researchers , if parents praise their children too much , their children will",always look for praise
Which of the following is NOT true in the traditional marriage ?,The woman made most of decisions .
"According to the passage , we can learn that",winning an honor has caused Lesley some worry
Which of the following is TRUE according to the passage ?,Dad had thought one outsider had cut the flowers from the stems .
Why does Murbach take his job seriously ?,Because he wants everyone to be happy with his choice .
People from North West greet each other by saying,""" reeit """
"According to the survey , many Chinese people surveyed feel old before they are",60 years old
Why can not Cotton kick the ball into goalmouth ?,because he is too far away
We can infer that Ana 's purpose for writing to Liz was to,seek advice on how to make her boss know she wants her position
"From the passage , we learn that the author",was quite free to know and befriend old people in his childhood
"We can learn that in the writer 's opinion ,",taking notes is important for tests
"On one 's birthday , before blowing out the candles , he or she will",make a wish
From the passage we can know that,not all the people in the world realize the urgency of the task
"When back at home , what is the writer most worried about ?",Whether Katerina will adapt herself to the school life .
"At first the young man refused to clean his shoes , because",he did n't think it necessary
"By saying "" Remember to stop and smell the roses "" , the author intends to",find the beauty of life
Which of the following is WRONG ?,The trains can only carry people .
Which of the following is NOT true for British students ?,They like to tell each other their scores
Where does Ted live !,He lives in a big city .
What is the best title for the text ?,Jobs on Stage to Introduce iPad 2
"According to Lao Lang , we can know that","a folk song , always with a story , belongs to popular music"
